"region","country_iso3","city","year","status_institute","language","subsidiaries_in","main_institute_in","open1","close1","open2","close2","open3","close3","open_before_1965"
7,"BOL","Tarija",2014,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"ARG","Mendoza",1995,3,2,NA,NA,1965,1997,NA,NA,NA,NA,1
7,"BRA","Sao Jose do Rio Preto",1983,0,0,NA,NA,1972,1973,1974,1975,NA,NA,0
7,"CHL","Valparaiso",1987,3,2,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"ARG","Martinez",2007,0,0,NA,NA,1971,1974,1975,1982,NA,NA,0
7,"BRA","Porto Alegre",1994,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BOL","Cochabamba",1989,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Santiago",1977,3,2,"Valparaiso",NA,1965,NA,NA,NA,NA,NA,1
7,"BOL","Santa Cruz",1983,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"COL","Bogota",1986,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Recife",1974,0,0,NA,NA,1966,1967,NA,NA,NA,NA,0
7,"BRA","Sao Jose do Rio Preto",1988,0,0,NA,NA,1972,1973,1974,1975,NA,NA,0
7,"ARG","Villa Ballester",1997,0,0,NA,NA,1971,1972,1973,1974,1977,1982,0
7,"BOL","Oruro",1976,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BOL","Sucre",1983,0,0,NA,NA,1971,1973,NA,NA,NA,NA,0
7,"BRA","Sao Jose do Rio Preto",1978,0,0,NA,NA,1972,1973,1974,1975,NA,NA,0
7,"BOL","Cochabamba",2004,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"COL","Bogota",1978,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Porto Alegre",2014,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Porto Alegre",1983,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Salvador",2010,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Brasilia",1979,3,2,NA,NA,1970,1998,NA,NA,NA,NA,0
7,"ARG","Mendoza",1983,3,2,NA,NA,1965,1997,NA,NA,NA,NA,1
7,"CHL","Valdivia",1987,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Osorno",2008,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"COL","Medellin",2010,0,0,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"BRA","Porto Alegre",2001,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Vitoria",2013,0,0,NA,NA,1972,1973,NA,NA,NA,NA,0
7,"BRA","Salvador",1985,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Valladares",1971,0,0,NA,NA,1972,1973,NA,NA,NA,NA,0
7,"BRA","Sao Paulo",2013,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
